Total Transacitons Scanned: 5773
Relevant Transactions Found: 2028


>>> AUDIT FOR SYMBOL: TSLA <<<
------------------------------------------------------------------------------------------------------------------------
| Date       | ID                   | Type   | Side | Qty  | AdjQty | Mult | Split | RunQty (Adj) | Path
------------------------------------------------------------------------------------------------------------------------
| 2024-02-15 | FY6IO0417gXTSPWqW9Hi | stock  | SHORT | -50    | -50      | 1     | 1     | -50        | ...transactions/FY6IO0417gXTSPWqW9Hi
| 2024-02-15 | vxaSIRD3kLtJJlWCLjhp | stock  | COVER | 50     | 50       | 1     | 1     | 0          | ...transactions/vxaSIRD3kLtJJlWCLjhp
| 2024-02-16 | QuBbGsPMYMMYvc1mwr8s | stock  | BUY  | 100    | 100      | 1     | 1     | 100        | ...transactions/QuBbGsPMYMMYvc1mwr8s
| 2024-02-20 | 1dRZuodUCTMuKXrllTQi | stock  | BUY  | 33     | 33       | 1     | 1     | 133        | ...transactions/1dRZuodUCTMuKXrllTQi
| 2024-02-20 | WwqmgR2t2YOWu1Bp61zy | stock  | BUY  | 33     | 33       | 1     | 1     | 166        | ...transactions/WwqmgR2t2YOWu1Bp61zy
| 2024-02-22 | RYJ5mNDOKlaK5Weioekv | stock  | SELL | -36    | -36      | 1     | 1     | 130        | ...transactions/RYJ5mNDOKlaK5Weioekv
| 2024-02-23 | Z3qOcfDBurQhzWKPs5CZ | stock  | BUY  | 36     | 36       | 1     | 1     | 166        | ...transactions/Z3qOcfDBurQhzWKPs5CZ
| 2024-02-27 | 6CZ0EAok2PUH2gaffobk | stock  | SELL | -16    | -16      | 1     | 1     | 150        | ...transactions/6CZ0EAok2PUH2gaffobk
| 2024-02-29 | vqMeUnzyIuE7uHtHpYle | stock  | BUY  | 16     | 16       | 1     | 1     | 166        | ...transactions/vqMeUnzyIuE7uHtHpYle
| 2024-03-04 | LRyeBMAUKF1uKJVEXefJ | stock  | BUY  | 37     | 37       | 1     | 1     | 203        | ...transactions/LRyeBMAUKF1uKJVEXefJ
| 2024-03-06 | PKibZtT4Ae5R7e3oS4qP | stock  | BUY  | 2      | 2        | 1     | 1     | 205        | ...transactions/PKibZtT4Ae5R7e3oS4qP
| 2024-03-13 | MnEH0qEwTM8QYAn1qeff | stock  | BUY  | 45     | 45       | 1     | 1     | 250        | ...transactions/MnEH0qEwTM8QYAn1qeff
| 2024-03-18 | sIqFopCjtGWv6yxW3nxP | stock  | BUY  | 25     | 25       | 1     | 1     | 275        | ...transactions/sIqFopCjtGWv6yxW3nxP
| 2024-03-20 | gUw2BR1vDt7Ownh1g2mw | stock  | SELL | -175   | -175     | 1     | 1     | 100        | ...transactions/gUw2BR1vDt7Ownh1g2mw
| 2024-03-22 | 4BUz93yrzm9gbRqezKKg | stock  | BUY  | 100    | 100      | 1     | 1     | 200        | ...transactions/4BUz93yrzm9gbRqezKKg
| 2024-03-26 | cGPbKEa2RPgidA10eJbg | stock  | SELL | -199   | -199     | 1     | 1     | 1          | ...transactions/cGPbKEa2RPgidA10eJbg
| 2024-03-27 | HUi51LgmvU0drgRi1YcV | stock  | BUY  | 99     | 99       | 1     | 1     | 100        | ...transactions/HUi51LgmvU0drgRi1YcV
| 2024-03-27 | oSDl74zXdvhmlNCZv2eI | stock  | SELL | -99    | -99      | 1     | 1     | 1          | ...transactions/oSDl74zXdvhmlNCZv2eI
| 2024-03-28 | QnMoWfirqvIo1mLtN5fU | stock  | BUY  | 99     | 99       | 1     | 1     | 100        | ...transactions/QnMoWfirqvIo1mLtN5fU
| 2024-03-28 | B1VF49sXMu1h4UyqaSw2 | stock  | BUY  | 100    | 100      | 1     | 1     | 200        | ...transactions/B1VF49sXMu1h4UyqaSw2
| 2024-04-01 | zN0hxnVn2FARnkYILLxw | stock  | BUY  | 150    | 150      | 1     | 1     | 350        | ...transactions/zN0hxnVn2FARnkYILLxw
| 2024-04-02 | uPR4PJtMLm51ZVTTTY0E | stock  | BUY  | 150    | 150      | 1     | 1     | 500        | ...transactions/uPR4PJtMLm51ZVTTTY0E
| 2024-04-05 | do2myboqtEi9lm0cGOPQ | stock  | BUY  | 59.25227 | 59.25227 | 1     | 1     | 559.25227  | ...transactions/do2myboqtEi9lm0cGOPQ
| 2024-04-05 | rKBoeBjeWpien3so45o2 | stock  | SELL | -29.49504 | -29.49504 | 1     | 1     | 529.7572299999999 | ...transactions/rKBoeBjeWpien3so45o2
| 2024-04-05 | cwuHzvjB0x6YFQt00O5N | stock  | BUY  | 42.03954 | 42.03954 | 1     | 1     | 571.7967699999999 | ...transactions/cwuHzvjB0x6YFQt00O5N
| 2024-04-10 | H66rh3KVYHXU7UqtFFPW | stock  | BUY  | 3      | 3        | 1     | 1     | 574.7967699999999 | ...transactions/H66rh3KVYHXU7UqtFFPW
| 2024-04-10 | kktmcD7drUHKaPSdLoZ2 | stock  | BUY  | 11.45421 | 11.45421 | 1     | 1     | 586.2509799999999 | ...transactions/kktmcD7drUHKaPSdLoZ2
| 2024-04-18 | 4ZS3rbThMXVViJo575qr | stock  | BUY  | 65.82849 | 65.82849 | 1     | 1     | 652.0794699999999 | ...transactions/4ZS3rbThMXVViJo575qr
| 2024-04-18 | 9V27LRuj2ZoQya52BQPn | stock  | BUY  | 33.42024 | 33.42024 | 1     | 1     | 685.4997099999999 | ...transactions/9V27LRuj2ZoQya52BQPn
| 2024-04-23 | jIzzCLsAMudt22HKOS91 | stock  | SELL | -185.49971 | -185.49971 | 1     | 1     | 499.99999999999994 | ...transactions/jIzzCLsAMudt22HKOS91
| 2024-04-24 | Ug3u149gpsNiz7U4LqEd | stock  | BUY  | 100    | 100      | 1     | 1     | 600        | ...transactions/Ug3u149gpsNiz7U4LqEd
| 2024-04-24 | AabYTnO7FLXYBE2Iy66Y | stock  | SELL | -100   | -100     | 1     | 1     | 500        | ...transactions/AabYTnO7FLXYBE2Iy66Y
| 2024-04-24 | YY5QP3afkDMEkS4xaM1f | stock  | SELL | -100   | -100     | 1     | 1     | 400        | ...transactions/YY5QP3afkDMEkS4xaM1f
| 2024-04-24 | GD8G9f1geQ4kWjSx6DIJ | stock  | SELL | -100   | -100     | 1     | 1     | 300        | ...transactions/GD8G9f1geQ4kWjSx6DIJ
| 2024-04-24 | 2J3Q0WAi7jk9kmE5hu87 | stock  | BUY  | 200    | 200      | 1     | 1     | 500        | ...transactions/2J3Q0WAi7jk9kmE5hu87
| 2024-04-24 | GckaOEjhseMOWf7BQwco | stock  | BUY  | 100    | 100      | 1     | 1     | 600        | ...transactions/GckaOEjhseMOWf7BQwco
| 2024-04-24 | uXfOgZdwQXGHtddfunhD | stock  | BUY  | 100    | 100      | 1     | 1     | 700        | ...transactions/uXfOgZdwQXGHtddfunhD
| 2024-04-24 | xEMk94bcMU9INWlQB6tb | stock  | SELL | -300   | -300     | 1     | 1     | 400        | ...transactions/xEMk94bcMU9INWlQB6tb
| 2024-04-24 | nxmopU7rW39Vptv6oZus | stock  | BUY  | 300    | 300      | 1     | 1     | 700        | ...transactions/nxmopU7rW39Vptv6oZus
| 2024-04-24 | EkbmoHvYIjSOUdQsqDzE | stock  | SELL | -300   | -300     | 1     | 1     | 400        | ...transactions/EkbmoHvYIjSOUdQsqDzE
| 2024-04-25 | dqvZVpV4T7QsX672Q2om | stock  | SELL | -200   | -200     | 1     | 1     | 200        | ...transactions/dqvZVpV4T7QsX672Q2om
| 2024-04-25 | cregUoXQo0qEBzvCnC0O | stock  | BUY  | 200    | 200      | 1     | 1     | 400        | ...transactions/cregUoXQo0qEBzvCnC0O
| 2024-04-25 | EpDBxiwA4Pshx8FFPVi2 | stock  | SELL | -200   | -200     | 1     | 1     | 200        | ...transactions/EpDBxiwA4Pshx8FFPVi2
| 2024-04-25 | qqlB1wFgURQHmbNUQdEN | stock  | BUY  | 200    | 200      | 1     | 1     | 400        | ...transactions/qqlB1wFgURQHmbNUQdEN
