Scanning 3616 total docs. Found 128 NVDA records.
------------------------------------------------------------------------------------------------------------------------
| Date       | ID                   | Type   | Side | Qty  | AdjQty | Mult | Split | RunQty (Adj) | Path
------------------------------------------------------------------------------------------------------------------------
| 2025-01-02 | y0X6JXWjvP7rwaDbVlIy | stock  | BUY  | 300    | 300      | 1     | 1     | 300        | ...y0X6JXWjvP7rwaDbVlIy
| 2025-01-02 | q3nH6Sj3qrWHx2qWb4da | stock  | SELL | -300   | -300     | 1     | 1     | 0          | ...q3nH6Sj3qrWHx2qWb4da
| 2025-01-02 | CzJZmrtZcD7Y1nwyz2vU | stock  | BUY  | 300    | 300      | 1     | 1     | 300        | ...CzJZmrtZcD7Y1nwyz2vU
| 2025-01-02 | HbCWOc8kAW4kI6Hkepaw | stock  | BUY  | 81     | 81       | 1     | 1     | 381        | ...HbCWOc8kAW4kI6Hkepaw
| 2025-01-02 | xcVYbA5XmAE8gvXp6uKV | stock  | BUY  | 19     | 19       | 1     | 1     | 400        | ...xcVYbA5XmAE8gvXp6uKV
| 2025-01-02 | fd4rabYlJvMn0xIw4six | stock  | BUY  | 100    | 100      | 1     | 1     | 500        | ...fd4rabYlJvMn0xIw4six
| 2025-01-02 | XVJhflD8EcIrSfoaiS1H | stock  | SELL | -500   | -500     | 1     | 1     | 0          | ...XVJhflD8EcIrSfoaiS1H
| 2025-03-13 | DKw3h6lHozhZAO0YLAm5 | stock  | BUY  | 300    | 300      | 1     | 1     | 300        | ...DKw3h6lHozhZAO0YLAm5
| 2025-03-13 | eIc5lkbbYI4dyOvatWU4 | stock  | SELL | -300   | -300     | 1     | 1     | 0          | ...eIc5lkbbYI4dyOvatWU4
| 2025-03-13 | NPRbcGMmJTTbGQc7NPby | stock  | BUY  | 200    | 200      | 1     | 1     | 200        | ...NPRbcGMmJTTbGQc7NPby
| 2025-03-13 | r3vxLsPFmwOIKCcRaHUv | stock  | SELL | -200   | -200     | 1     | 1     | 0          | ...r3vxLsPFmwOIKCcRaHUv
| 2025-03-13 | WzejI5VNHtvfZqzqaDKu | stock  | BUY  | 800    | 800      | 1     | 1     | 800        | ...WzejI5VNHtvfZqzqaDKu
| 2025-03-13 | 6gXyJ1HXOC0jVIKMlv7e | stock  | SELL | -800   | -800     | 1     | 1     | 0          | ...6gXyJ1HXOC0jVIKMlv7e
| 2025-03-17 | 7hKFK2pQIvUBBM3geebz | stock  | BUY  | 500    | 500      | 1     | 1     | 500        | ...7hKFK2pQIvUBBM3geebz
| 2025-03-18 | EZnpfZbm7FrGw9Gxd3Gh | stock  | SELL | -100   | -100     | 1     | 1     | 400        | ...EZnpfZbm7FrGw9Gxd3Gh
| 2025-03-19 | UwvlHkEEbNncKu1JLB40 | stock  | SELL | -400   | -400     | 1     | 1     | 0          | ...UwvlHkEEbNncKu1JLB40
| 2025-03-19 | TCkiArIE59q8fxBogMhI | stock  | BUY  | 380    | 380      | 1     | 1     | 380        | ...TCkiArIE59q8fxBogMhI
| 2025-03-19 | 95BciM6mNXcPVnX0ye07 | stock  | SELL | -380   | -380     | 1     | 1     | 0          | ...95BciM6mNXcPVnX0ye07
| 2025-03-19 | rtdHtohP5ZYozYuewnZn | stock  | BUY  | 400    | 400      | 1     | 1     | 400        | ...rtdHtohP5ZYozYuewnZn
| 2025-03-19 | GlNz7eOuecWhwLH0Dv6c | stock  | SELL | -400   | -400     | 1     | 1     | 0          | ...GlNz7eOuecWhwLH0Dv6c
| 2025-03-19 | 4e45z2kktV4CCiFS3s7C | stock  | BUY  | 200    | 200      | 1     | 1     | 200        | ...4e45z2kktV4CCiFS3s7C
