=== TSLA Smart Gap Analysis ===

[Analysis Summary]
Total Transactions Logged: 1592
Final Calculated Balance : -273.00
Last 'Clean Slate' (Zero Balance) Date: 2024-05-10
Transactions after Last Zero: 1386

[The Permanent Divergence]
Listing ledger operations occurring AFTER the balance last hit zero (2024-05-10).
These are the specific operations causing the permanent negative drift.

Date       | Action | Side  | AdjQty     | Balance    | ID                   | Note
-----------|--------|-------|------------|------------|----------------------|-----
2024-05-10 |        | SELL  |    -300.00 |    -300.00 | xny1EveLevsHVtngIJkV | << THE BREAK POINT
2024-05-10 |        | BUY   |     250.00 |     -50.00 | mgSCG7GnOUItXK1kMqY7 | 
2024-05-10 |        | SELL  |    -250.00 |    -300.00 | 1v9LM7ATo89G6NISi9LR | 
2024-05-10 |        | SELL  |    -250.00 |    -550.00 | hUGYZE3b2AHGPhezRlEP | 
2024-05-10 |        | BUY   |     250.00 |    -300.00 | RoFueoK6WVmXLP9HUKmH | 
2024-05-10 |        | SELL  |    -250.00 |    -550.00 | 338IX3pA2R0zysBbjuMP | 
2024-05-10 |        | BUY   |     250.00 |    -300.00 | p1vEVYiWdj6gg2LRnDyU | 
2024-05-10 |        | BUY   |     250.00 |     -50.00 | eTVXzBilourM1yZSpM2J | 
2024-05-10 |        | SELL  |    -250.00 |    -300.00 | BxaHnb44mTfsm1eFc5iA | 
2024-05-10 |        | SELL  |    -250.00 |    -550.00 | DaBj2sKcv8bALVWdZkeQ | 
2024-05-10 |        | BUY   |     250.00 |    -300.00 | Ccm29AzyLP97iHGNXGK5 | 
2024-05-10 |        | SELL  |    -250.00 |    -550.00 | fB3HgoYFL5zhpIEaMvHf | 
2024-05-10 |        | BUY   |     250.00 |    -300.00 | eWzkjQUgGoY87jNA2mMa | 
2024-05-10 |        | SELL  |    -250.00 |    -550.00 | uo2f7kKXftnnZARBjDU6 | 
2024-05-10 |        | BUY   |     250.00 |    -300.00 | FQX0vG24XQVtCntDGcCg | 
2024-05-10 |        | SELL  |    -250.00 |    -550.00 | tjxeiqEoFz0cbSnKmz8v | 
2024-05-10 |        | BUY   |     250.00 |    -300.00 | keNsTKIMsijXiF3RIgtu | 
2024-05-10 |        | BUY   |     250.00 |     -50.00 | JTkSA1CxUTOvZCmqs276 | 
2024-05-13 |        | SELL  |    -250.00 |    -300.00 | Q9ZcBXdfaDt0RTN2ORj9 | 
2024-05-13 |        | SELL  |    -200.00 |    -500.00 | Dn2jnvNaA0wTPeNkQQCt | 
2024-05-13 |        | SELL  |    -100.00 |    -600.00 | RQBliXawkBKxsjtI26fT | 
2024-05-13 |        | SELL  |    -200.00 |    -800.00 | akEtFaSdLgJaV0Brb028 | 
2024-05-13 |        | BUY   |     527.00 |    -273.00 | ue7m9xCupdOOPVd6tOkq | 
2024-05-13 |        | BUY   |     399.00 |     126.00 | D2DYaByF38Sh17mlyi46 | 
2024-05-13 |        | BUY   |     101.00 |     227.00 | jnxaN1pe2DdmsQri5JpX | 
2024-05-13 |        | SELL  |    -169.00 |      58.00 | iyjRAMNghIopBcttoNA5 | 
2024-05-13 |        | SELL  |    -331.00 |    -273.00 | nkYxclQHlXiUYixR3KKg | 
2024-05-13 |        | SELL  |    -500.00 |    -773.00 | L1JGX5hUzFlaxuJyYG5n | 
2024-05-13 |        | BUY   |     500.00 |    -273.00 | 0nX919p2EPTmwziRrcsA | 
2024-05-13 |        | BUY   |     500.00 |     227.00 | TYSuzXvIdAcQY0k9UpxY | 
2024-05-13 |        | SELL  |    -500.00 |    -273.00 | 99ixWxNlaJU7EWk6h1Gl | 
2024-05-13 |        | BUY   |     500.00 |     227.00 | SVpt2nyvlepzNccAETtM | 
2024-05-13 |        | SELL  |    -500.00 |    -273.00 | CfhxUvCUzmUhOtkCmoHQ | 
